,DateTime,Total
197,2019-07-17,2.89094492
198,2019-07-18,1.625395698
199,2019-07-19,8.465117197
200,2019-07-20,13.60630869
201,2019-07-21,5.343662679
202,2019-07-22,3.566821774
203,2019-07-23,4.744686163
204,2019-07-24,4.159095603
205,2019-07-25,2.570925794
206,2019-07-26,10.48394952
207,2019-07-27,11.89438441
208,2019-07-28,6.133740304
209,2019-07-29,9.202546642
210,2019-07-30,2.274391021
211,2019-07-31,1.956041907
212,2019-08-01,4.787243751
213,2019-08-02,17.00568139
214,2019-08-03,6.998227053
215,2019-08-04,4.607119731
216,2019-08-05,0.442964943
217,2019-08-06,7.411902729
218,2019-08-07,12.90349122
219,2019-08-08,6.392853729
220,2019-08-09,7.379348519
221,2019-08-10,0.522992322
222,2019-08-11,0.178795335
223,2019-08-12,0.89222556
224,2019-08-13,1.422083835
225,2019-08-14,2.664873526
226,2019-08-15,9.20004269
227,2019-08-16,2.549384683
228,2019-08-17,7.942941824
229,2019-08-18,6.948332979
230,2019-08-19,12.26160534
231,2019-08-20,8.840313539
232,2019-08-21,6.505231667
233,2019-08-22,11.12221017
234,2019-08-23,7.42961348
235,2019-08-24,3.064597173
236,2019-08-25,6.381410104
237,2019-08-26,1.708925134
238,2019-08-27,0.108821562
239,2019-08-28,0.001063052
240,2019-08-29,1.95671329
241,2019-08-30,0.613874934
242,2019-08-31,7.244732134
243,2019-09-01,11.2727716
244,2019-09-02,13.88909614
245,2019-09-03,6.105402344
246,2019-09-04,4.878452364
247,2019-09-05,6.269229713
248,2019-09-06,4.047982463
249,2019-09-07,4.312788667
250,2019-09-08,2.433535426
251,2019-09-09,0.514384915
252,2019-09-10,1.418698184
253,2019-09-11,3.067686079
254,2019-09-12,10.64166064
255,2019-09-13,5.565302605
256,2019-09-14,6.251919287
257,2019-09-15,8.447226328
258,2019-09-16,5.200822672
259,2019-09-17,12.09976191
260,2019-09-18,21.96736167
261,2019-09-19,20.82493417
262,2019-09-20,19.76239633
263,2019-09-21,1.166892953
264,2019-09-22,6.461310816
265,2019-09-23,5.0981524
266,2019-09-24,10.70627452
267,2019-09-25,17.95729821
268,2019-09-26,19.85753483
269,2019-09-27,10.03028328
270,2019-09-28,2.374985462
271,2019-09-29,0.83791164
272,2019-09-30,1.540372403
273,2019-10-01,0.852684986
274,2019-10-02,1.961197167
275,2019-10-03,2.574159872
276,2019-10-04,9.461155283
277,2019-10-05,2.421434922
278,2019-10-06,3.280409434
279,2019-10-07,6.188251525
280,2019-10-08,2.918056303
281,2019-10-09,2.363358778
282,2019-10-10,10.93833462
283,2019-10-11,5.851245669
284,2019-10-12,3.993342063
285,2019-10-13,4.060095276
286,2019-10-14,5.144688756
287,2019-10-15,1.953171287
288,2019-10-16,8.464654072
289,2019-10-17,6.782005234
290,2019-10-18,7.800429661
291,2019-10-19,16.16507541
292,2019-10-20,10.64075364
293,2019-10-21,6.863941798
294,2019-10-22,17.65359417
295,2019-10-23,29.70848647
296,2019-10-24,36.62337242
297,2019-10-25,7.504811476
298,2019-10-26,8.583484098
299,2019-10-27,4.528987539
300,2019-10-28,1.788782589
301,2019-10-29,1.708394576
302,2019-10-30,12.20831031
303,2019-10-31,10.7953481
304,2019-11-01,0.74184219
305,2019-11-02,1.610728021
306,2019-11-03,0.137779322
307,2019-11-04,0.015263485
308,2019-11-05,0.0
309,2019-11-06,0.0
310,2019-11-07,0.02735396
311,2019-11-08,0.210629104
312,2019-11-09,0.006968636
313,2019-11-10,0.0
314,2019-11-11,0.0
315,2019-11-12,0.0
316,2019-11-13,0.090662356
317,2019-11-14,0.105010652
318,2019-11-15,7.536099913
319,2019-11-16,0.99328935
320,2019-11-17,0.006968636
321,2019-11-18,0.161833782
322,2019-11-19,1.546187445
323,2019-11-20,2.816996048
324,2019-11-21,1.488373862
325,2019-11-22,0.0
326,2019-11-23,0.0
327,2019-11-24,0.0
328,2019-11-25,0.0
329,2019-11-26,0.0
330,2019-11-27,0.079808146
331,2019-11-28,2.107318865
332,2019-11-29,0.798534252
333,2019-11-30,0.0
334,2019-12-01,10.05208026
335,2019-12-02,9.200271159
336,2019-12-03,0.594058647
337,2019-12-04,0.055054483
338,2019-12-05,0.0
339,2019-12-06,0.201234652
340,2019-12-07,0.459691901
341,2019-12-08,1.719547446
342,2019-12-09,0.251657073
343,2019-12-10,0.178473955
344,2019-12-11,0.0
345,2019-12-12,0.0
346,2019-12-13,0.003024274
347,2019-12-14,0.166050531
348,2019-12-15,1.135273901
349,2019-12-16,0.676354623
350,2019-12-17,2.303372409
351,2019-12-18,0.510234639
352,2019-12-19,0.008244464
353,2019-12-20,0.0
354,2019-12-21,0.0
355,2019-12-22,0.0
356,2019-12-23,0.0
357,2019-12-24,0.0
358,2019-12-25,0.0
359,2019-12-26,0.0
360,2019-12-27,0.05979184
361,2019-12-28,0.025167032
362,2019-12-29,0.143534779
363,2019-12-30,1.267940675
364,2019-12-31,0.131418687
365,2020-01-01,0.192389654
366,2020-01-02,0.569553368
