,Date,Energy Required (MU)
214,02-12-2012,252.034
215,03-12-2012,255.971
216,04-12-2012,254.189
217,05-12-2012,254.359
218,06-12-2012,265.628
219,07-12-2012,268.281
220,08-12-2012,266.481
221,09-12-2012,264.017
222,10-12-2012,271.497
223,11-12-2012,270.29
224,12-12-2012,278.057
225,13-12-2012,278.73
226,14-12-2012,279.91
227,15-12-2012,273.956
228,16-12-2012,264.25
229,17-12-2012,271.461
230,18-12-2012,272.271
231,19-12-2012,277.586
232,20-12-2012,276.937
233,21-12-2012,277.636
234,22-12-2012,273.389
235,23-12-2012,268.634
236,24-12-2012,277.768
237,25-12-2012,278.88
238,26-12-2012,275.193
239,27-12-2012,277.375
240,28-12-2012,279.058
241,29-12-2012,266.802
242,30-12-2012,264.601
243,31-12-2012,276.377
244,01-01-2013,280.443
245,02-01-2013,283.278
246,03-01-2013,290.606
247,04-01-2013,294.943
248,05-01-2013,289.781
249,06-01-2013,283.396
250,07-01-2013,299.253
251,08-01-2013,298.281
252,09-01-2013,300.285
253,10-01-2013,289.664
254,11-01-2013,283.997
255,12-01-2013,280.996
256,13-01-2013,270.524
257,14-01-2013,269.287
258,15-01-2013,265.434
259,16-01-2013,283.552
260,17-01-2013,295.738
261,18-01-2013,294.733
262,19-01-2013,293.653
263,20-01-2013,280.116
264,21-01-2013,293.638
265,22-01-2013,289.682
266,23-01-2013,299.951
267,24-01-2013,302.7
268,25-01-2013,300.807
269,26-01-2013,285.064
270,27-01-2013,277.674
271,28-01-2013,290.087
272,29-01-2013,284.68
273,30-01-2013,290.921
274,31-01-2013,294.138
275,01-02-2013,294.505
276,02-02-2013,292.64
277,03-02-2013,285.813
278,04-02-2013,296.051
279,05-02-2013,299.169
280,06-02-2013,305.237
281,07-02-2013,310.678
282,08-02-2013,295.756
283,09-02-2013,286.025
284,10-02-2013,278.706
285,11-02-2013,292.489
286,12-02-2013,302.944
287,13-02-2013,302.945
288,14-02-2013,302.913
289,15-02-2013,299.793
290,16-02-2013,260.956
291,17-02-2013,235.004
292,18-02-2013,253.994
293,19-02-2013,261.91
294,20-02-2013,264.738
295,21-02-2013,272.977
296,22-02-2013,283.93
297,23-02-2013,279.19
298,24-02-2013,277.396
299,25-02-2013,292.801
300,26-02-2013,297.631
301,27-02-2013,306.106
302,28-02-2013,311.767
303,01-03-2013,309.741
304,02-03-2013,304.091
305,03-03-2013,296.68
306,04-03-2013,298.518
307,05-03-2013,302.5
308,06-03-2013,309.808
309,07-03-2013,305.449
310,08-03-2013,306.7
311,09-03-2013,309.408
312,10-03-2013,301.807
313,11-03-2013,309.072
314,12-03-2013,303.0
315,13-03-2013,312.844
316,14-03-2013,312.482
317,15-03-2013,310.617
318,16-03-2013,306.298
319,17-03-2013,299.963
320,18-03-2013,310.333
321,19-03-2013,314.247
322,20-03-2013,313.174
323,21-03-2013,317.364
324,22-03-2013,308.042
325,23-03-2013,306.984
326,24-03-2013,300.95
327,25-03-2013,313.087
328,26-03-2013,318.828
329,27-03-2013,304.362
330,28-03-2013,312.547
331,29-03-2013,318.531
332,30-03-2013,320.284
333,31-03-2013,312.914
334,01-04-2013,307.665
335,02-04-2013,293.242
336,03-04-2013,295.132
337,04-04-2013,307.147
338,05-04-2013,301.393
339,06-04-2013,302.33
340,07-04-2013,303.835
341,08-04-2013,308.829
342,09-04-2013,308.733
343,10-04-2013,310.668
344,11-04-2013,309.195
345,12-04-2013,304.594
346,13-04-2013,295.217
347,14-04-2013,287.956
348,15-04-2013,299.11
349,16-04-2013,297.416
350,17-04-2013,303.427
351,18-04-2013,309.298
352,19-04-2013,304.41
353,20-04-2013,273.368
354,21-04-2013,262.081
355,22-04-2013,268.187
356,23-04-2013,269.174
357,24-04-2013,277.684
358,25-04-2013,282.463
359,26-04-2013,276.273
360,27-04-2013,279.228
361,28-04-2013,272.512
362,29-04-2013,285.689
363,30-04-2013,286.819
364,01-05-2013,276.469
365,02-05-2013,284.347
366,03-05-2013,288.398
367,04-05-2013,287.367
368,05-05-2013,273.332
369,06-05-2013,288.814
370,07-05-2013,288.622
371,08-05-2013,291.352
372,09-05-2013,295.113
373,10-05-2013,296.333
374,11-05-2013,289.896
375,12-05-2013,267.573
376,13-05-2013,275.502
377,14-05-2013,278.342
378,15-05-2013,278.105
379,16-05-2013,288.798
380,17-05-2013,289.956
381,18-05-2013,285.895
382,19-05-2013,277.067
383,20-05-2013,285.135
384,21-05-2013,284.05
385,22-05-2013,294.092
386,23-05-2013,294.445
387,24-05-2013,293.38
388,25-05-2013,286.826
389,26-05-2013,270.409
390,27-05-2013,270.014
391,28-05-2013,275.987
392,29-05-2013,269.818
393,30-05-2013,266.196
394,31-05-2013,271.158
395,01-06-2013,258.391
396,02-06-2013,246.974
397,03-06-2013,258.15
398,04-06-2013,253.63
399,05-06-2013,258.312
400,06-06-2013,253.34
401,07-06-2013,251.738
402,08-06-2013,236.286
403,09-06-2013,233.106
404,10-06-2013,244.75
405,11-06-2013,246.794
406,12-06-2013,242.327
407,13-06-2013,240.778
408,14-06-2013,230.972
409,15-06-2013,233.921
410,16-06-2013,238.644
411,17-06-2013,255.874
412,18-06-2013,262.211
413,19-06-2013,268.992
414,20-06-2013,272.031
415,21-06-2013,265.811
416,22-06-2013,254.016
417,23-06-2013,245.882
418,24-06-2013,244.944
419,25-06-2013,237.695
