,DateTime,Total
0,2019-01-01,28.69680158754661
1,2019-01-02,29.149151418896476
2,2019-01-03,29.741540904504674
3,2019-01-04,29.451433563673145
4,2019-01-05,28.863383608266226
5,2019-01-06,29.03248067239793
6,2019-01-07,29.800636517182603
7,2019-01-08,30.22569373913487
8,2019-01-09,30.02402795772815
9,2019-01-10,29.458258455027394
10,2019-01-11,29.55205039517165
11,2019-01-12,29.213660975111747
12,2019-01-13,29.44746842158662
13,2019-01-14,29.727765161401848
14,2019-01-15,29.82377494044338
15,2019-01-16,29.489231934867632
16,2019-01-17,29.58843094757286
17,2019-01-18,29.98523441097812
18,2019-01-19,30.3607629122526
19,2019-01-20,30.40204336345202
20,2019-01-21,30.018987244117707
21,2019-01-22,30.13813958162816
22,2019-01-23,30.15004698111167
23,2019-01-24,30.90043590178266
24,2019-01-25,30.70564842968913
25,2019-01-26,30.22032489118483
26,2019-01-27,29.164022549341745
27,2019-01-28,26.07951027017465
28,2019-01-29,28.70570550003944
29,2019-01-30,29.123544209345063
30,2019-01-31,29.117746950280967
31,2019-02-01,29.40800288753155
32,2019-02-02,30.148658857944547
33,2019-02-03,30.38591287851529
34,2019-02-04,30.978378297150368
35,2019-02-05,31.350727570844576
36,2019-02-06,31.811297257950688
37,2019-02-07,31.98770637986542
38,2019-02-08,32.01855997826015
39,2019-02-09,31.522315414931747
40,2019-02-10,31.834135606870824
41,2019-02-11,30.715631815849186
42,2019-02-12,31.096496478600336
43,2019-02-13,31.0981977838034
44,2019-02-14,32.068235032705566
45,2019-02-15,32.51776577737866
46,2019-02-16,32.381962518567505
47,2019-02-17,33.36208088916496
48,2019-02-18,33.90643476739202
49,2019-02-19,33.83204040297968
50,2019-02-20,33.36420036551083
51,2019-02-21,33.34385929118008
52,2019-02-22,35.19168622496354
53,2019-02-23,36.296120042261386
54,2019-02-24,35.80698992830171
55,2019-02-25,35.09831561127809
56,2019-02-26,34.07083740332802
57,2019-02-27,33.7560129588708
58,2019-02-28,33.49091031418885
59,2019-03-01,33.18452608500805
60,2019-03-02,33.015641253199306
61,2019-03-03,33.29104634877048
62,2019-03-04,34.1537695392962
63,2019-03-05,35.424154425583616
64,2019-03-06,35.78199151857539
65,2019-03-07,35.44161314744341
66,2019-03-08,34.73960738381704
67,2019-03-09,34.807465581744346
68,2019-03-10,34.99568739642565
69,2019-03-11,35.14659815580109
70,2019-03-12,35.662287941970895
71,2019-03-13,35.79683338197263
72,2019-03-14,36.52624092975015
73,2019-03-15,36.3959417336037
74,2019-03-16,34.76641304163265
75,2019-03-17,34.794586539029346
76,2019-03-18,34.50167053415895
77,2019-03-19,34.90807317171263
78,2019-03-20,35.199220951756246
79,2019-03-21,35.07230968242251
80,2019-03-22,35.306916882824524
81,2019-03-23,36.18404493283907
82,2019-03-24,36.28485977846061
83,2019-03-25,36.25777140980559
84,2019-03-26,36.10240194097527
85,2019-03-27,36.254530223568544
86,2019-03-28,36.83936599562823
87,2019-03-29,36.65428857124213
88,2019-03-30,37.08546673195072
89,2019-03-31,37.62367195449762
90,2019-04-01,37.308186212328685
91,2019-04-02,36.92055880092639
92,2019-04-03,36.57545444887457
93,2019-04-04,36.32476997634196
94,2019-04-05,37.09930425531378
95,2019-04-06,37.45460050751566
96,2019-04-07,37.20957845445858
97,2019-04-08,37.02097074121183
98,2019-04-09,36.851672068778
99,2019-04-10,37.45748008392368
100,2019-04-11,37.44881052487243
101,2019-04-12,37.69231255182272
102,2019-04-13,38.375248415884414
103,2019-04-14,38.29751358326682
104,2019-04-15,38.2253334168536
105,2019-04-16,38.25638788079357
106,2019-04-17,37.6484674633637
107,2019-04-18,37.34950632182865
108,2019-04-19,37.21628073722613
109,2019-04-20,37.20613642027514
110,2019-04-21,37.6057618776276
111,2019-04-22,37.53444832024364
112,2019-04-23,37.4238911147324
113,2019-04-24,37.5460606769464
114,2019-04-25,37.92639098784945
115,2019-04-26,38.44561106587324
116,2019-04-27,38.42883547760371
117,2019-04-28,37.90724155301864
118,2019-04-29,38.15540490193172
119,2019-04-30,38.290231353178754
120,2019-05-01,36.67235400044859
121,2019-05-02,36.569704995152
122,2019-05-03,38.24316484373762
123,2019-05-04,40.058849555579904
124,2019-05-05,40.55220398319267
125,2019-05-06,40.89427274861282
126,2019-05-07,39.42979245186949
127,2019-05-08,39.55544933835299
128,2019-05-09,40.03094616384469
129,2019-05-10,39.486984410352825
130,2019-05-11,38.74899096340474
131,2019-05-12,38.33319697069358
132,2019-05-13,38.09688863927949
133,2019-05-14,38.87019376453567
134,2019-05-15,38.5680689296368
135,2019-05-16,38.43387051058763
136,2019-05-17,38.787159480420335
137,2019-05-18,39.67990226715148
138,2019-05-19,39.29798535820203
139,2019-05-20,38.879558960164935
140,2019-05-21,39.08694843302938
141,2019-05-22,38.56214944797193
142,2019-05-23,38.53001492726192
143,2019-05-24,38.77532375066637
144,2019-05-25,39.49464982633747
145,2019-05-26,40.43091300389151
146,2019-05-27,39.29570105232264
147,2019-05-28,39.40882034308721
148,2019-05-29,38.5501341472056
149,2019-05-30,37.32343931529399
150,2019-05-31,38.402793488773774
151,2019-06-01,38.89272225613835
152,2019-06-02,39.06483017592768
153,2019-06-03,37.27700890820356
154,2019-06-04,36.98138923720364
155,2019-06-05,38.61875027727267
156,2019-06-06,37.51017424893988
157,2019-06-07,37.619959853829954
158,2019-06-08,38.43783846908831
159,2019-06-09,39.18373123734121
160,2019-06-10,37.397843149692434
161,2019-06-11,39.228334049093945
162,2019-06-12,39.88097662573252
163,2019-06-13,38.45691792718991
